epoch,lr-Adam,step,train_acc,train_loss_epoch,train_loss_step,val_acc,val_acc_top5,val_loss
,0.001,0,,,,,,
0,,9,,,3.583364963531494,,,
0,,19,,,3.5399253368377686,,,
0,,29,,,3.515716552734375,,,
0,,39,,,3.465078830718994,,,
0,,49,,,3.4245481491088867,,,
0,,59,,,3.4601998329162598,,,
0,,69,,,3.395005464553833,,,
0,,79,,,3.3480160236358643,,,
0,,89,,,3.3299052715301514,,,
0,,99,,,3.3171138763427734,,,
0,,109,,,3.1930603981018066,,,
0,,119,,,3.162932872772217,,,
0,,129,,,3.2055561542510986,,,
0,,139,,,3.1306960582733154,,,
0,,149,,,3.1233010292053223,,,
0,,159,,,3.0078625679016113,,,
0,,169,,,3.0208511352539062,,,
0,,179,,,2.927294969558716,,,
0,,189,,,2.8999698162078857,,,
0,,199,,,2.931790828704834,,,
0,,209,,,2.776407480239868,,,
0,,219,,,2.7242867946624756,,,
0,,229,,,2.7303884029388428,,,
0,,239,,,2.836562395095825,,,
0,,249,,,2.8086822032928467,,,
0,,259,,,2.7680768966674805,,,
0,,269,,,2.716858386993408,,,
0,,279,,,2.5630226135253906,,,
0,,289,,,2.537745952606201,,,
0,,299,,,2.6384713649749756,,,
0,,309,,,2.5236778259277344,,,
0,,319,,,2.4800801277160645,,,
0,,329,,,2.512348175048828,,,
0,,339,,,2.4149868488311768,,,
0,,349,,,2.5720174312591553,,,
0,,359,,,2.5259649753570557,,,
0,,369,,,2.2804319858551025,,,
0,,379,,,2.425018072128296,,,
0,,389,,,2.3346829414367676,,,
0,,399,,,2.2746963500976562,,,
0,,409,,,2.4361820220947266,,,
0,,419,,,2.3522145748138428,,,
0,,429,,,2.286328077316284,,,
0,,439,,,2.092855215072632,,,
0,,449,,,2.3466765880584717,,,
0,,459,,,2.3047027587890625,,,
0,,469,,,2.2311840057373047,,,
0,,479,,,2.28483510017395,,,
0,,489,,,2.312511920928955,,,
0,,499,,,2.1543869972229004,,,
0,,509,,,2.0622057914733887,,,
0,,519,,,2.072725772857666,,,
0,,529,,,2.143373727798462,,,
0,,539,,,2.1038453578948975,,,
0,,549,,,2.046079397201538,,,
0,,559,,,2.1458828449249268,,,
0,,569,,,1.9599502086639404,,,
0,,579,,,1.9293007850646973,,,
0,,589,,,2.0437471866607666,,,
0,,599,,,1.8773568868637085,,,
0,,609,,,1.999825358390808,,,
0,,619,,,1.927074909210205,,,
0,,629,,,1.8392019271850586,,,
0,,639,,,2.0253756046295166,,,
0,,649,,,1.837917685508728,,,
0,,659,,,1.9262768030166626,,,
0,,662,,,,0.5653741955757141,0.9036168456077576,1.5688416957855225
0,,662,0.29091382026672363,2.6001107692718506,,,,
,0.001,663,,,,,,
1,,669,,,1.9919188022613525,,,
1,,679,,,1.9073960781097412,,,
1,,689,,,1.800163984298706,,,
1,,699,,,2.1264638900756836,,,
1,,709,,,1.9002692699432373,,,
1,,719,,,1.848901629447937,,,
1,,729,,,1.6975536346435547,,,
1,,739,,,1.8367385864257812,,,
1,,749,,,1.8725389242172241,,,
1,,759,,,1.822015643119812,,,
1,,769,,,1.925199031829834,,,
1,,779,,,1.8395063877105713,,,
1,,789,,,1.7800917625427246,,,
1,,799,,,1.7380839586257935,,,
1,,809,,,1.758339524269104,,,
1,,819,,,1.6927658319473267,,,
1,,829,,,1.7193025350570679,,,
1,,839,,,1.638999342918396,,,
1,,849,,,1.6148464679718018,,,
1,,859,,,1.7633229494094849,,,
1,,869,,,1.791342854499817,,,
1,,879,,,1.7638614177703857,,,
1,,889,,,1.687710165977478,,,
1,,899,,,1.6057748794555664,,,
1,,909,,,1.6508452892303467,,,
1,,919,,,1.7361953258514404,,,
1,,929,,,1.928267240524292,,,
1,,939,,,1.7659748792648315,,,
1,,949,,,1.7231448888778687,,,
1,,959,,,1.6543011665344238,,,
1,,969,,,1.6115994453430176,,,
1,,979,,,1.7806768417358398,,,
